province,metric,count,min,max,mean,median,std_dev,sum
aacistak_province,maximum_infrastructure_capacity_people,4,0.0,356156.4791738059,164459.19437633862,150840.14916577432,169430.61634699113,657836.7775053545
aacistak_province,maximum_irrigation_capacity_people,4,0.0,356156.4791738059,164459.19437633862,150840.14916577432,169430.61634699113,657836.7775053545
aacistak_province,maximum_land_improvement_capacity_people,4,0.0,0.0,0.0,0.0,0.0,0.0
aacistak_province,maximum_population_capacity_development_100_people,4,55067.612524168006,364156.4791738059,204209.19437633862,198806.3429036903,162314.48222253393,816836.7775053545
aahkawiraahkata,maximum_infrastructure_capacity_people,5,0.0,126187.52814692899,65187.18795032981,63719.078489974396,56476.61615065932,325935.93975164904
aahkawiraahkata,maximum_irrigation_capacity_people,5,0.0,126187.52814692899,65187.18795032981,63719.078489974396,56476.61615065932,325935.93975164904
aahkawiraahkata,maximum_land_improvement_capacity_people,5,0.0,0.0,0.0,0.0,0.0,0.0
aahkawiraahkata,maximum_population_capacity_development_100_people,5,18000.0,179850.49917241602,97987.18795032981,94719.0784899744,72761.26289868074,489935.93975164904
aargau_province,maximum_infrastructure_capacity_people,4,3197.2224303508,7699.077834547198,5245.909973510388,5043.669814571778,1852.6780502754323,20983.639894041553
aargau_province,maximum_irrigation_capacity_people,4,44.13596675194463,184.99183272611342,95.96066746144952,77.35743518387,62.03930429259606,383.84266984579807
aargau_province,maximum_land_improvement_capacity_people,4,3153.0864635988555,7632.723065789408,5149.9493060489385,4906.993847403746,1850.432884553609,20599.797224195754
aargau_province,maximum_population_capacity_development_100_people,4,10197.222430350801,31699.0778345472,18245.90997351039,15543.669814571778,9741.736390584245,72983.63989404155
aashise_province,maximum_infrastructure_capacity_people,3,4909.1401220750895,6785.416160988423,5748.37355891577,5550.564393683798,953.6505088015233,17245.120676747312
aashise_province,maximum_irrigation_capacity_people,3,4909.1401220750895,6785.416160988423,5748.37355891577,5550.564393683798,953.6505088015233,17245.120676747312
aashise_province,maximum_land_improvement_capacity_people,3,0.0,0.0,0.0,0.0,0.0,0.0
aashise_province,maximum_population_capacity_development_100_people,3,21550.5643936838,196785.41616098842,82748.37355891577,29909.14012207509,98847.36597968615,248245.12067674732
abarkuh_province,maximum_infrastructure_capacity_people,6,85706.50916960704,229127.16004255955,171510.10813906492,195758.69072527788,64490.71925940981,1029060.6488343895
abarkuh_province,maximum_irrigation_capacity_people,6,85706.50916960704,229127.16004255955,171510.10813906492,195758.69072527788,64490.71925940981,1029060.6488343895
abarkuh_province,maximum_land_improvement_capacity_people,6,0.0,0.0,0.0,0.0,0.0,0.0
abarkuh_province,maximum_population_capacity_development_100_people,6,96706.50916960704,250127.16004255955,186510.1081390649,212341.55197091884,68555.10715683716,1119060.6488343894
aberdeenshire_province,maximum_infrastructure_capacity_people,5,251.56465089187228,3462.878368272279,1783.6972790310574,1284.6502682104474,1388.7406024248755,8918.486395155287
aberdeenshire_province,maximum_irrigation_capacity_people,5,0.0,13.43588094622719,4.624668263814286,2.7860353118198486,5.322483943542202,23.12334131907143
aberdeenshire_province,maximum_land_improvement_capacity_people,5,250.1330223829337,3462.878368272279,1779.072610767243,1271.2143872642202,1390.6007755005066,8895.363053836216
aberdeenshire_province,maximum_population_capacity_development_100_people,5,19284.650268210447,28462.87836827228,24583.697279031057,23902.265016128058,3780.0568632942186,122918.48639515528
abha_province,maximum_infrastructure_capacity_people,5,0.0,60223.95932721436,29798.633955094312,19346.915753813617,28088.41467575514,148993.16977547156
abha_province,maximum_irrigation_capacity_people,5,0.0,60223.95932721436,29798.633955094312,19346.915753813617,28088.41467575514,148993.16977547156
abha_province,maximum_land_improvement_capacity_people,5,0.0,0.0,0.0,0.0,0.0,0.0
abha_province,maximum_population_capacity_development_100_people,5,10000.0,84049.11313511159,46598.63395509431,44346.91575381362,29757.73302680083,232993.16977547156
abihka_province,maximum_infrastructure_capacity_people,6,198800.74200929294,371003.4681827838,281752.8162204409,283362.4381559944,56991.03964962705,1690516.8973226454
abihka_province,maximum_irrigation_capacity_people,6,31.849448497006723,372.4994667586681,148.09257728453716,114.50654601539786,123.5834782536519,888.555463707223
abihka_province,maximum_land_improvement_capacity_people,6,198688.80095131128,370630.9687160251,281604.7236431564,283234.841427784,56913.836234682065,1689628.3418589383
abihka_province,maximum_population_capacity_development_100_people,6,240800.74200929294,396003.4681827838,308586.1495537742,302962.13481596543,50991.689520359905,1851516.8973226454
abitibi_province,maximum_infrastructure_capacity_people,6,67043.10590860892,277331.48752911546,169062.99779302988,158714.95057834417,101260.0940486745,1014377.9867581793
abitibi_province,maximum_irrigation_capacity_people,6,0.0,222.39837989912846,95.88444119066723,78.8899713752842,105.31245347739427,575.3066471440034
abitibi_province,maximum_land_improvement_capacity_people,6,67043.10590860892,277109.0891492163,168967.11335183922,158541.4839841656,101212.48807971722,1013802.6801110352
abitibi_province,maximum_population_capacity_development_100_people,6,128282.0318040014,295208.95848500734,233229.6644596966,268756.20151572314,75809.40083082403,1399377.9867581795
abkhazia_province,maximum_infrastructure_capacity_people,4,5991.395563533827,28998.985814880718,18557.620333445095,19620.049977682917,9894.01196015777,74230.48133378038
abkhazia_province,maximum_irrigation_capacity_people,4,0.0,0.0,0.0,0.0,0.0,0.0
abkhazia_province,maximum_land_improvement_capacity_people,4,5991.395563533827,28998.985814880718,18557.620333445095,19620.049977682917,9894.01196015777,74230.48133378038
abkhazia_province,maximum_population_capacity_development_100_people,4,30991.395563533828,43998.98581488072,37307.6203334451,37120.04997768292,5314.741605177345,149230.4813337804
abruzzo_citra_province,maximum_infrastructure_capacity_people,3,0.0,3319.221094656047,1369.6608409480498,789.761428188103,1733.9318514555066,4108.98252284415
abruzzo_citra_province,maximum_irrigation_capacity_people,3,0.0,3319.221094656047,1369.6608409480498,789.761428188103,1733.9318514555066,4108.98252284415
abruzzo_citra_province,maximum_land_improvement_capacity_people,3,0.0,0.0,0.0,0.0,0.0,0.0
abruzzo_citra_province,maximum_population_capacity_development_100_people,3,21000.0,246319.22109465604,109369.66084094804,60789.7614281881,120258.8575485857,328108.9825228441
abruzzo_ultra_province,maximum_infrastructure_capacity_people,7,0.0,16597.267442730717,5927.354350954645,926.9708738835602,7253.999087971344,41491.48045668252
abruzzo_ultra_province,maximum_irrigation_capacity_people,7,0.0,926.9708738835602,272.07342055676713,0.0,369.61465251872323,1904.51394389737
